"state","district_name","version","nrecords","district_file","status"
"MH","Jalna",2020-12-15 13:11:00,104,"Jalna.pdf","TRUE"
"MH","Kolhapur",2020-12-15 13:11:00,104,"Kolhapur.pdf","TRUE"
"MH","Latur",2020-12-15 13:11:00,104,"Latur.pdf","TRUE"
"MH","Mumbai",2020-12-15 13:11:00,104,"Mumbai.pdf","TRUE"
"MH","Mumbai Suburban",2020-12-15 13:11:00,104,"Mumbai Suburban.pdf","TRUE"
"MH","Nagpur",2020-12-15 13:11:00,104,"Nagpur.pdf","TRUE"
"MH","Nanded",2020-12-15 13:11:00,104,"Nanded.pdf","TRUE"
"MH","Nandurbar",2020-12-15 13:11:00,104,"Nandurbar.pdf","TRUE"
"MH","Nashik",2020-12-15 13:11:00,104,"Nashik.pdf","TRUE"
"MH","Osmanabad",2020-12-15 13:11:00,104,"Osmanabad.pdf","TRUE"
"MH","Parbhani",2020-12-15 13:11:00,104,"Parbhani.pdf","TRUE"
"MH","Pune",2020-12-15 13:11:00,104,"Pune.pdf","TRUE"
"MH","Raigarh",2020-12-16 23:17:51,104,"Raigarh.pdf","TRUE"
"MH","Ratnagiri",2020-12-15 13:11:00,104,"Ratnagiri.pdf","TRUE"
"MH","Sangli",2020-12-15 13:11:00,104,"Sangli.pdf","TRUE"
"MH","Satara",2020-12-15 13:11:00,104,"Satara.pdf","TRUE"
"MH","Sindhudurg",2020-12-15 13:11:00,104,"Sindhudurg.pdf","TRUE"
"MH","Solapur",2020-12-15 13:11:00,104,"Solapur.pdf","TRUE"
"MH","Wardha",2020-12-16 23:17:51,104,"Wardha.pdf","TRUE"
"MH","Washim",2020-12-15 13:11:00,104,"Washim.pdf","TRUE"
"MH","Yavatmal",2020-12-15 13:11:00,104,"Yavatmal.pdf","TRUE"
"MN","Bishnupur",2020-12-15 13:11:00,104,"Bishnupur.pdf","TRUE"
"MN","Chandel",2020-12-15 13:11:00,104,"Chandel.pdf","TRUE"
"MN","Churachandpur",2020-12-15 13:11:00,104,"Churachandpur.pdf","TRUE"
"MN","Imphal East",2020-12-15 13:11:00,104,"Imphal East.pdf","TRUE"
"MN","Imphal West",2020-12-15 13:11:00,104,"Imphal West.pdf","TRUE"
"MN","Senapati",2020-12-15 13:11:00,104,"Senapati.pdf","TRUE"
"MN","Tamenglong",2020-12-15 13:11:00,104,"Tamenglong.pdf","TRUE"
"MN","Thoubal",2020-12-15 13:11:00,104,"Thoubal.pdf","TRUE"
"MN","Ukhrul",2020-12-15 13:11:00,104,"Ukhrul.pdf","TRUE"
"ML","East Khasi Hills",2020-12-15 13:11:00,104,"East Khasi Hills.pdf","TRUE"
"ML","Ribhoi",2020-12-15 13:11:00,104,"Ribhoi.pdf","TRUE"
"ML","South Garo Hills",2020-12-15 13:11:00,104,"South Garo Hills.pdf","TRUE"
"MZ","Aizawl",2020-12-15 13:11:00,104,"Aizawl.pdf","TRUE"
"MZ","Champhai",2020-12-15 13:11:00,104,"Champhai.pdf","TRUE"
"MZ","Kolasib",2020-12-15 13:11:00,104,"Kolasib.pdf","TRUE"
"MZ","Lawngtlai",2020-12-15 13:11:00,104,"Lawngtlai.pdf","TRUE"
"MZ","Lunglei",2020-12-15 13:11:00,104,"Lunglei.pdf","TRUE"
"MZ","Mamit",2020-12-15 13:11:00,104,"Mamit.pdf","TRUE"
